img,label
000000.png,0.0469822883605957
000001.png,0.1499874591827392
000002.png,0.2509975433349609
000003.png,0.3499865531921386
000004.png,0.4501180648803711
000005.png,0.5490262508392334
000006.png,0.651007890701294
000007.png,0.7510223388671875
000008.png,0.8510158061981201
000009.png,0.95251202583313
000010.png,1.0515265464782717
000011.png,1.1475136280059814
000012.png,1.2506825923919678
000013.png,1.3516952991485596
000014.png,1.4527058601379397
000015.png,1.5516881942749023
000016.png,1.6527221202850342
000017.png,1.7517213821411133
000018.png,1.8477520942687988
000019.png,1.950735569000244
000020.png,2.0499515533447266
000021.png,2.150951147079468
000022.png,2.250892639160156
000023.png,2.3505563735961914
000024.png,2.449147224426269
000025.png,2.5501770973205566
000026.png,2.6501076221466064
000027.png,2.7502281665802
000028.png,2.8511786460876465
000029.png,2.9502217769622803
000030.png,3.047249794006348
000031.png,3.150348663330078
000032.png,3.2503912448883057
000033.png,3.3505306243896484
000034.png,3.448530673980713
000035.png,3.54753041267395
000036.png,3.647558450698853
000037.png,3.747555732727051
000038.png,3.8515756130218506
000039.png,3.94954514503479
000040.png,4.046612024307251
000041.png,4.147533655166626
000042.png,4.247574090957642
000043.png,4.347533464431763
000044.png,4.448569297790527
000045.png,4.54853367805481
000046.png,4.648533582687378
000047.png,4.748533725738525
000048.png,4.849587202072144
000049.png,4.948533535003662
000050.png,5.04651403427124
000051.png,5.1484763622283936
000052.png,5.250472784042358
000053.png,5.346476316452026
000054.png,5.448508501052856
000055.png,5.550510406494141
000056.png,5.6495091915130615
000057.png,5.747508764266968
000058.png,5.84751033782959
000059.png,5.9498610496521
000060.png,6.046895980834961
000061.png,6.147897958755493
000062.png,6.248855352401733
000063.png,6.350892066955566
000064.png,6.449411630630493
000065.png,6.549479007720947
000066.png,6.64742922782898
000067.png,6.74742603302002
000068.png,6.847426176071167
000069.png,6.949427366256714
000070.png,7.0463950634002686
000071.png,7.148426532745361
000072.png,7.249428033828735
000073.png,7.350426435470581
000074.png,7.448421955108643
000075.png,7.546422004699707
000076.png,7.648390054702759
000077.png,7.750389814376831
000078.png,7.846452474594116
000079.png,7.948489427566528
000080.png,8.049320936203003
000081.png,8.149297714233398
000082.png,8.24936318397522
000083.png,8.350120067596436
000084.png,8.450124979019165
000085.png,8.550796747207642
000086.png,8.650817155838013
000087.png,8.749775409698486
000088.png,8.8488187789917
000089.png,8.948819160461426
000090.png,9.047812223434448
000091.png,9.148836135864258
000092.png,9.248847007751465
000093.png,9.349847078323364
000094.png,9.44987964630127
000095.png,0.0489978790283203
000096.png,0.1508212089538574
000097.png,0.2478153705596923
000098.png,0.3478245735168457
000099.png,0.4477930068969726
000100.png,0.5497889518737793
000101.png,0.6467876434326172
000102.png,0.7477879524230957
000103.png,0.8488411903381348
000104.png,0.9498410224914552
000105.png,1.0478203296661377
000106.png,1.147820234298706
000107.png,1.2497940063476562
000108.png,1.3498241901397705
000109.png,1.4489829540252686
000110.png,1.5480384826660156
000111.png,1.647982835769653
000112.png,1.7480218410491943
000113.png,1.8510475158691408
000114.png,1.9500548839569087
000115.png,2.0480427742004395
000116.png,2.14798903465271
000117.png,2.2469890117645264
000118.png,2.350050687789917
000119.png,2.448026657104492
000120.png,2.5469887256622314
000121.png,2.6480255126953125
000122.png,2.7479937076568604
000123.png,2.846344232559204
000124.png,2.9473276138305664
000125.png,3.0473227500915527
000126.png,3.147359848022461
000127.png,3.2463598251342773
000128.png,3.346360206604004
000129.png,3.4474008083343506
000130.png,3.5473792552948
000131.png,3.645416259765625
000132.png,3.746379137039185
000133.png,3.847379446029663
000134.png,3.949384450912476
000135.png,4.047379016876221
000136.png,4.146482944488525
000137.png,4.246287107467651
000138.png,4.346328973770142
000139.png,4.446326494216919
000140.png,4.549401521682739
000141.png,4.648554801940918
000142.png,4.747812986373901
000143.png,4.850816011428833
000144.png,4.946312665939331
000145.png,5.047314405441284
000146.png,5.1462767124176025
000147.png,5.24939489364624
000148.png,5.348426103591919
000149.png,5.448330402374268
000150.png,5.546561002731323
000151.png,5.647624731063843
000152.png,5.746678590774536
000153.png,5.847678422927856
000154.png,5.951662302017212
000155.png,6.048662662506104
000156.png,6.149853467941284
000157.png,6.246852397918701
000158.png,6.349891424179077
000159.png,6.449891090393066
000160.png,6.548896074295044
000161.png,6.645217418670654
000162.png,6.728201866149902
000163.png,6.830207824707031
000164.png,6.930343151092529
000165.png,7.031320095062256
000166.png,7.131362438201904
000167.png,7.229357242584228
000168.png,7.32936429977417
000169.png,7.430319786071777
000170.png,7.529320240020752
000171.png,7.630319833755493
000172.png,7.73032021522522
000173.png,7.831356763839722
000174.png,7.929320573806763
000175.png,8.03135347366333
000176.png,8.129364252090454
000177.png,8.229352235794067
000178.png,8.33254861831665
000179.png,8.431537389755249
000180.png,8.532555103302002
000181.png,8.628516674041748
000182.png,8.72856330871582
000183.png,8.83051609992981
000184.png,8.929548501968384
000185.png,9.03160834312439
000186.png,9.132542848587036
000187.png,9.23052144050598
000188.png,9.333516836166382
000189.png,9.431667804718018
000190.png,9.529553413391112
000191.png,0.0490365028381347
000192.png,0.1500356197357177
000193.png,0.2510344982147217
000194.png,0.3500311374664306
000195.png,0.4500303268432617
000196.png,0.549034833908081
000197.png,0.6500000953674316
000198.png,0.7500314712524414
000199.png,0.8520424365997314
000200.png,0.9489994049072266
000201.png,1.050039291381836
000202.png,1.149756669998169
000203.png,1.252798318862915
000204.png,1.3497717380523682
000205.png,1.4487357139587402
000206.png,1.5518062114715576
000207.png,1.6487407684326172
000208.png,1.7487404346466064
000209.png,1.851754665374756
000210.png,1.949777364730835
000211.png,2.0487406253814697
000212.png,2.1497721672058105
000213.png,2.2517411708831787
000214.png,2.3477725982666016
000215.png,2.45173716545105
000216.png,2.5497982501983643
000217.png,2.6487998962402344
000218.png,2.752779006958008
000219.png,2.84879732131958
000220.png,2.9497976303100586
000221.png,3.0497610569000244
000222.png,3.1505846977233887
000223.png,3.251626491546631
000224.png,3.350628137588501
000225.png,3.4526662826538086
000226.png,3.548894166946411
000227.png,3.6508944034576416
000228.png,3.748931169509888
000229.png,3.8515918254852295
000230.png,3.951626062393189
000231.png,4.052590847015381
000232.png,4.151591539382935
000233.png,4.251622438430786
000234.png,4.348637819290161
000235.png,4.448596715927124
000236.png,4.550596475601196
000237.png,4.649596691131592
000238.png,4.751597166061401
000239.png,4.849596738815308
000240.png,4.951653957366943
000241.png,5.04863429069519
000242.png,5.14859676361084
000243.png,5.253772258758545
000244.png,5.347814798355103
000245.png,5.450777530670166
000246.png,5.5497777462005615
000247.png,5.648814916610718
000248.png,5.749777793884277
000249.png,5.849815845489502
000250.png,5.948814868927002
000251.png,6.049777507781982
000252.png,6.148778438568115
000253.png,6.249825477600098
000254.png,6.349777936935425
000255.png,6.451783895492554
000256.png,6.548814535140991
000257.png,6.649158477783203
000258.png,6.749199867248535
000259.png,6.849196195602417
000260.png,6.951163768768311
000261.png,7.049266338348389
000262.png,7.153200626373291
000263.png,7.252246379852295
000264.png,7.34921407699585
000265.png,7.450163841247559
000266.png,7.552200555801392
000267.png,7.650238752365112
000268.png,7.750174045562744
000269.png,7.850158452987671
000270.png,7.950399160385132
000271.png,8.049066305160522
000272.png,8.14915132522583
000273.png,8.252078294754028
000274.png,8.351183652877808
000275.png,8.449604272842407
000276.png,8.551680326461792
000277.png,8.648592710494995
000278.png,8.749471426010132
000279.png,8.849685192108154
000280.png,8.951427936553955
000281.png,9.049693822860718
000282.png,9.14968967437744
000283.png,9.251799821853638
000284.png,9.348453044891356
000285.png,9.451436758041382
000286.png,9.549473524093628
000287.png,0.0490319728851318
000288.png,0.1490449905395507
000289.png,0.2490370273590088
000290.png,0.3490347862243652
000291.png,0.4480371475219726
000292.png,0.5490055084228516
000293.png,0.6490442752838135
000294.png,0.7510108947753906
000295.png,0.8490417003631592
000296.png,0.95200777053833
000297.png,1.0520069599151611
000298.png,1.150190353393555
000299.png,1.2490427494049072
000300.png,1.3505971431732178
000301.png,1.4486377239227295
000302.png,1.5476224422454834
000303.png,1.6486492156982422
000304.png,1.750591278076172
000305.png,1.85059118270874
000306.png,1.950591325759888
000307.png,2.0516111850738525
000308.png,2.149625539779663
000309.png,2.2496163845062256
000310.png,2.3515915870666504
000311.png,2.450602769851685
000312.png,2.5506064891815186
000313.png,2.6507673263549805
000314.png,2.751789331436157
000315.png,2.850773334503174
000316.png,2.949057579040528
000317.png,3.0508131980896
000318.png,3.150322914123535
000319.png,3.251428842544556
000320.png,3.348518848419189
000321.png,3.4507856369018555
000322.png,3.5518605709075928
000323.png,3.649653196334839
000324.png,3.747646570205689
000325.png,3.846671104431152
000326.png,3.950641632080078
000327.png,4.048539638519287
000328.png,4.15053653717041
000329.png,4.250540018081665
000330.png,4.351122140884399
000331.png,4.449103116989136
000332.png,4.548075675964356
000333.png,4.6501123905181885
000334.png,4.74911904335022
000335.png,4.851083040237427
000336.png,4.94811749458313
000337.png,5.051102161407471
000338.png,5.150082349777222
000339.png,5.250082969665527
000340.png,5.351116895675659
000341.png,5.449342966079712
000342.png,5.548444747924805
000343.png,5.650510549545288
000344.png,5.748922109603882
000345.png,5.848922252655029
000346.png,5.94791579246521
000347.png,6.047878265380859
000348.png,6.149758815765381
000349.png,6.249914407730103
000350.png,6.34687089920044
000351.png,6.448237895965576
000352.png,6.547277927398682
000353.png,6.648257732391357
000354.png,6.749071836471558
000355.png,6.84708833694458
000356.png,6.94804573059082
000357.png,7.048055410385132
000358.png,7.14905047416687
000359.png,7.249055624008179
